ม|ู|น|ช|า|ว:เ:ว|อ:ร:์|	m|u|n|s:h|o|w:e|r|
แ:น|ช|	n:a:s|h:e|
ไ:ฮ|โ|ด|ร|ก|ร|า|ฟ|	h|y|d|r:o|g|r|a|p:h|
บ:ี|ล|ึ|ส|	b:e:a|l|e|s|
ซ:ี|ด|า|ร:์|	c|e:d|a|r|
เ|บ|ล|า|ร|ุ|ส|	b|e|l|a|r|u|s|
ไ:ร:เ|บ|ิ:ร:์|ก|	r:y|b|e:r|g|
เ:ก|ล|เ:ฟ|ิ:่|น|ด:์|	g|e:l|f|a|n|d|
บ:ั:ก|ก|ิ|่:ง|แ|ฮ|ม|	b:u|c:k|i|n|g|h|a:m|
เ:ย|ร:ึ|ด|	y|a:r:e|d|
บ|ี|เ:ช|ิ:่:ม|	b|e:e|c:h:a|m|
ฮ|อ|ร:์|ว:ู|ด|	h|o|r|w:o:o|d|
ช:อ|ร:์|ช|	g:e:o|r|g:e:s|
ช|ไ:น|เ|ด|อ:ร:์|	s|n|y|d:e|r|
แ:อ:ล|เ:อ:็|น:จ:ี|	l|n|g|
โ:ม:โ|ร|,|	m:o|r:e|a:u:,|
แ:ล|น|ท|า|น|ั|ม|	l|a:n|t:h|a|n|u|m|
เ:ด|ฟ|ล|ิ|น|	d|e:v|l|i|n|
ท|ู|บ|า|	t|u|b|a|
ฟ:ี:เ|ม|ล|	f:e|m:a|l:e|
เ:ช|ต|	c:h:a|i:t|
เ:อ|เ:ซ:็|ก|	e|s:e|k|
ไ:ฮ|โ|ด|ร|ฟ:ิ|ล|ิ|ก|	h|y|d|r:o|p:h:i|l|i|c|
ว|ิ|ก|เ:ก:อ|ร:์|ส|	v|i|c|k:e|r|s|
ล:ู:เ|ด|อ|ว|ิ|ก|	l:u|d|o|v|i|c|
เ:ว:อ|ร:์:ไ|ท|ม:์|	w:e|r|t:h|e:i:m|
ฟ|ล:า:ย|เ:ว|ต|	f|l:y|w:e:i|g:h:t|
แ:ม:็|ด|ล:ิ|น|	m:a|d|e:l:y|n|
ม|ี|ร:า|โ:บ|	m|i|r:a:b|e:a:u|
ก|ร:ี|น|แ:ฮ|ล:ช:์|	g|r:e:e|n|h:a:l|g:h|
ด:ี:เ|ฟ|ล|ิ:ส|	d:e|f|e:l|i:c:e|
ฮ|ั:ม:เ|ม|ิ:ล|	h|u:m|m:e|l|
ก|ร|ิ|ฟ|ฟ:ิ:่|ง|	g|r|i|f|f:i|n:g|
บ|ล|ั:ด|ส:์|เ:ว:ิ|ร:์|ท|	b|l|o:o:d|s|w:o|r|t:h|
เ:จ|ฮ|ู|	j|e:h|u|
เ:อ|แ:น|น|ท|ิ|โ:อ|ท|ร|อ|ป|ิ|ก|	e|n|a:n|t|i|o|t|r|o|p|i|c|
อ|อ|ท|ิ|ส|ต|ิ|ก|	a|u|t|i|s|t|i|c|
ไ:ซ|เ:ก:ิ|ล|	s:e:i|g:e|l|
เ:อ|บ:ิ|ล|ส:์|	a|b|e:l:e|s|
บ|ี|อ:อ|น|ด:ี:้|	b|i|o|n|d:i|
โ:บ|ล|ซ|์|แ:ม|น|	b|o:l|t|z|m:a:n|n|
จ|ิ|ก|ะ|ไ:บ|ต|์|	g|i|g|a|b|y:t|e|
เ:บ|ร:ึ|น|ด:์|	b|a:r:e|n|d|
เ:บ:อ|ร:์|ด|อ|น|	b:u|r|d|o|n|
เ:ฟ|า|ล:์|ก|ส|	f|o:w|l|k:e|s|
แ:ก:เ|ล|อ:แ:ฮ|ด|	g:a|l:a|h:a|d|
น|า|ซ|า|	n|a|s|a|
แ:ค|ช|ู:ว:์|	c:a:s|h|e:w|
ค|อ|น|เ:น|อ|ร:์|	c|o|n|n|o|r|
ร|ั|ต|เ:ม|ิ:่|น|	r|u|t|m|a|n|
แ:ม:เ|ด|ล|ิ|น|	m:a|d:e|l:e|i|n:e|
พ|ิ|ต|เ:ม:ิ|น|	p|i|t:t|m:a|n|
อ|ก|ร|ี|ป|ป:้:า|	a|g|r|i|p|p:a|
เ:พ|จ|,|	p|a:g:e|,|
แ:บ|ไ:ร|ต|์|	b:a:r|i|t|e|
ไ:ฮ|เ:ม|ิ:น|	h|y:m:a|n|
ไ:ฮ|โ|ด|ร|เ:จ|น|	h|y|d|r:o|g|e:n|
เ:อ:ิ|ร:์|ด|เ:ม:ิ|น|	e|r|d|m:a|n|
พ|อ|ล|ิ|พ|ล|อ|ย:ด:์|	p|o|l|y|p|l|o|i:d|
เ:อ|อ:ร:์|น|ั|ล|ด:์|	e|r|n|a|l|d|
เ:บ:อ|ร:์|ด|ี|	b:i|r|d|i:e|
อ:ะ|เ:ล:็|ก:ซ:า|น|เ:ด|ร|ี:ย|น|	a|l:e|x:a|n|d|r|i|a:n|
ซ:ุ|ส|	z:e:u|s|
ซ|ั|ล|ฟ|า|	s|u|l|f|a|
ไ:พ|ร:์:ก|	p:r:y|k:e|
ส|ว|ิ|น|ต:์|	s|w|i|n|t|
เ:ม|ิ:่:ก|แ:ค|ร|เ:ค|ิ:่:น|	m|c|c|r:a|c:k:e|n|
ซ|า|ว|า|ส|	s|a|v|a|s|
เ:ช|ล|เ:ก:ิ|ล|	s:c:h|l:e|g:e|l|
บ:ี:เ|ต|อ|ร:์|	b|i:t|a|r|
ว:ิ|ต|ต|ี:เ:อ|อ:ร:์|	w:h:i|t|t|i:e|r|
น|ั:ม:เ|บ|อ:ร:์|	n|u:m|b:e|r|
เ:อ|ส|ต|ั|น|เ|ซ:ี:ย|	e|s|t|a|n|c|i:a|
แ:ค|ก|ต|ั|ส|	c|a:c|t|u|s|
ไ|ว|โ:อ|ล|ิ|น|	v|i|o|l|i|n|
ล:ี|เ:ม|ิ:่:น|	l:e:a|m|o:n|
บ|า|ร:์|บ|ี|	b|a|r|b|i:e|
ค|า|ร:์|เ:ต:อ|ร:์|	c|a|r|t:e|r|
แ:ค:ฟ|ฟ|ี:่|	c:a|f:f:e|e|
ก|ร|ิ:ล|ล:์|	g|r|i|l:l:e|
ม|ุ|ฮ:ั:ม|ม|ั|ด|	m|u|h:a|m:m|a|d|
เ:ฮ|น|น|ิ:่:ง|	h:a:i|n|i|n:g|
โ:ฮ|ล|ก:ิ|้:น|	h|o:l|g:u:i|n|
ค|อ|ร|ั|ส|	c:h|o|r|u|s|
แ:ฮ|ฟ|	h|a:v:e|
ด|า|ร:์|ล:ิ:่|ง|	d|a|r|l:i|n:g|
เ:บ|า|ม:์|ฮ|า|ร:์|ต|	b|a:u|m|h|a|r|t|
ส|เ:น|า|เ:ซ|อ:ร:์|	s:c:h|n|a:u|z|e:r|
ไ:ค|ร|เ:ก|อ:ร:์|	k|r|i:g:e|r|
เ:ม:ิ|ก|เ:ค|น|ซ|ี|	m:a|c:k|e|n|z|i:e|
เ:ว|ส|ท|ิ:ง|เ:ฮ:า|ส:์|,|	w|e:s|t|i:n:g|h:o|u:s:e|,|
ค|า|ร:์|บ|อ|น:า|โ:ด|	c|a|r|b|o|n|a:d:o|
แ:ว|น|ส:์|	v|a:n|s|
ฟ:ี|น|ี|อ:ั|ส|	p:h:i|n|e|a|s|
แ:ค:เ|ว|ิ|ล|	c:a|v|i|l:l|
ไ:ฮ|เ:ร|อ|ด|อ|ล|	h|e|y:e|r:d|a|h:l|
ร:ู:เ|ก|อ:ร:์|	r:u|g|e:r|
เ:ม:ิ|ก|โ:ค|ล|	m|c|c:o:l|l|
ป|า|ก|า|เ:น|ล|ล|ี:่|	p|a|g|a|n|e:l|l|i|
เ|ซ|ก|ซ:แ:ต|น|ต:์|	s|e|x|t:a|n|t|
เ:ซ:ิ|ร:์|ฟ|	s:u|r|f|
ก|ิ|ล|ม|า|ร:์|ต|ิ|น|	g|i|l|m|a|r|t|i|n|
ค|ร|ิ|ส|ต:ี|ส|ั|น|	c:h|r|i|s|t:e:n|s|o|n|
เ:อ:็|น|เ:ต:อ|ร:์|เ:ท|น|	e|n|t:e|r|t:a:i|n|
เ:ท:อ|ร|า|โ:ท:เ|จ|น|ิ|ซ|ิ|ต|ี|	t:e|r|a|t:o|g:e|n|i|c|i|t|y|
ฟ|ร|อ|ท|ิ|ง|แ|ฮ|ม|	f|r|o|t:h|i|n|g|h|a:m|
แ|อ:ร:์|ค|ร|า|ฟ|ต:์|	a:i|r|c|r|a|f|t|
ซ|ิ|ล|แ|ว|น:่:า|	s|y|l|v|a|n:a|
ด|ิ:ม|อ|เ:ค|ร|ซ|ี|	d:e|m|o|c|r:a|c|y|
เ:อ|ล|ต:ิ:้|ง|	e|l|t:i|n:g|
ม|อ|ย:เ:อ|ิ:ร:์|ส|	m|o|y|e:r|s|
ม|า|ร:์|ล|ี:ย:์|,|	m|a|r|l|e:y|,|
ค|ิ|ด|เ:ว|ล|	k|i|d|w:e:l|l|
บ|ร:ี:เ|ด|ิ:้:น|	b|r:e|e:d:e|n|
ร:็:อ|ป|	r:o|p:p|
ด|ิ|ล|ด:้:า|	d|i|l|d:a|
ล|อ|ร:์|จ|	l|o|r|g:e|
แ:ฟ:เ|บ|ิ:ร:์|จ|	f:a|b|e:r|g:e|
แ:ล|น|ด|ร|ั|ม|	l|a:n|d|r|u|m|
โ:ค|น|	k|o:n:e|
เ:พ|อ|เ:น:ิ|ต|	p|a|n:e|t|
ด|อ|ล|ล|ี|	d|o|l|l|y|
ฟ|ร|า|น|ซ|ิ|ส|	f|r|a|n|c|i|s|
เ:ม|ิ:่:ก|แ:ก:เ|ฮ|ิ|น|	m|c|g:a|h|a|n|
อ:า|ค|ร|ิ|ท|า|ร:์|ช|	a|c|r|i|t|a|r|c:h|
เ:ว|ก|ล:ี:่|	w|a:k:e|l:y|
ม|า|ร:์|ค|ิ:้:น|	m|a|r|k|i:n|
อ:า|ร:์|เ:ต:อ|ร:์|	a|r|t:e|r|
ป|า|ป|ี|ต|ิ|	p|a|p|e:e|t|e|
ว:ิ|ต:เ:ท|ก:เ:ก|อ:ร:์|	w:h:i|t:a|k:e|r|
ไ:ร|เ|ต|อ:ร:์|	r|i|t:e|r|
แ:บ|ส|ค:่:า|	b|a:s|k:a|
พ|ิ|เ:ค|ิ:ต|	p|i|c:k:e|t|
ด:ู|เ:ล:ิ|่:น|	d:o:o|l:a|n|
ไ:ว|ต|ิ:่|ง|	w:h:i|t|i|n:g|
เ:ล|น|ิ|แ:ฮ|น|	l|e:n|i|h|a:n|
ด|ิ|เ:น|ิ:่|น|	d|i|n|a|n|
อ|อ:ร:์|ม|ิ|ส|ต|ั:้:น|	o|r|m|i|s|t|o:n|
ไ:ก|ร|ม|ส:์|	g|r|i:m:e|s|
ว|ิ|ต|ท|ิ|ช|	w|i|t|t|i|c:h|
เ:ฮ|โ:ร|อ:ี|น|	h|e:r:o|i|n|
ฟ|อ|ง|	f|o|n:g|
เ:ร|น|จ|์|	r|a:n|g|e|
ส|ฟ:ิ|ง:ซ:์|	s|p:h:i|n:x|
ร|อ|ฟ|เ:ต|ิ:้:น|	r|o|u:g:h|t|o:n|
พ:ี|แ|ด|ล|	p|e|d|a:l|
ไ:อ|ว:า:ย|อ:า:ร|์:ย:ู|	i|y|r|u|
ไ:อ:เ|ฟ|อ:เ:ล|อ:ร:์|	e:i|f|l:e|r|
เ:ม|แ|ท|บ|อ:ไ:ล|ต|์|	m|e|t:a|b:o|l:i|t|e|
ไ:ค|โ|ร|	c:a:i|r|o|
ท|ี|ฟ|ร|า|	t|e|p:h|r|a|
โ:ร:แ|ล|น|ด:์|	r:o|l|a:n|d|
ฟ|ิ|ช:เ:ช|อ:ร:์|	f|i|s:h|e:r|
ส:เ:ต|ร|โ|ต|ค:ิ:ว|ม|ู|ล|ั|ส|	s:t|r|a|t:o|c:u|m|u|l|u|s|
โ:ฟ|ล|์:ก|	f|o:l|k|
แ:ก|ร|ล|ล:่:า|	g|r:a|l|l:a|
ค|อ|น:โ|ด|ร|ไ:ด|ต|์|	c:h|o|n|d|r:o|d|i:t|e|
ล|ี|ว|ี|	l|e|v|i:e|
เ:อ|ิ:น|น|ั|น|ซ|ี|โ:อ:้|	a|n|n|u|n|z|i|o|
แ|ล|น|โ:น|	l:a|n|n|e:a:u|
แ:ด:็|ก|ท|ิ|ล|	d:a|c|t|y|l|
ฮ|ั|ต|ช:ี|ส|ั|น|	h|u|t|c:h:e|s|o|n|
บ|ั|น|เ:น:ิ|ล|	b|u|n|n:e|l:l|
ก|า|ต|า|ร:์|	q|a|t|a|r|
เ:บ:อ|ร:์:เ|จ|ร|อ|น|-|ฟ|ิ|น|ไ:ด|เ:ซ|น|	b:e|r|g:e|r|o|n|-|f|i|n|d:e:i|s|e:n|
ไ:ว|ต:์|ล|ี:ย:์|	w:h:i|t|e:l|e:y|
ฟ|ร|า|น|ซ|ิ:ส|	f|r|a|n|c:e|s|
บ|ี|ฮ|ั|น|	b|e|h|a|n|
ว|ิ:ก|เ:ม|ิ:่|น|	w|i:c:k|m|a|n|
ส|ป|ิ|ล|เ:ม|ิ:่|น|	s|p|e:e|l|m|a|n|
ด|ี|เ:ซ:ิ|ร:์|ต|	d|y|s:a|r|t|
เ:จ|ม|ี|	j|a:m|i:e|
แ:ค|น|ต:์:เ|ว|ล|	c|a:n|t|w:e|l:l|
ค|า|ร:์|ด|เ:ว|ล|	c|a|r|d|w:e:l|l|
ไ:ร|ต:์|ส|ั|น|	w:r:i|g:h:t|s|o|n|
จ|อ:เ|ค|ิ:่:ม|	j|o|c:h|u:m|
เ:อ|ช|เ:ว|จ|	e|s:c:h|w|e:g:e|
อ:ู|ร|า|ไ:ล|ต|์|	u|r|a|l|i:t|e|
โ:ค|ล|ั|ม|บ|ั|ส|	c|o:l|u|m|b|u|s|
เ:บ|ล:เ:ล|อ:ร:์|	b:a:i|l:e|r|
เ|ล|โ:อ|น|ิ|ด|	l|e|o|n|i|d|
โ:ร:แ|บ|ร|์:โ:ต|	r:o|b:e|r|t:o|
แ:อ|น|เ:จ|ล|ิ|ก:้:า|	a|n|g|e:l|i|c:a|
ว|ิ|เ:ว|ี:ย|น|น|์|	v|i|v|i|e:n|n|e|
ฮ:า|ส|	h:a:a|s:s|
เ:ด|ล:า|แ|ว|ร|์|	d|e|l:a|w:a|r|e|
เ|บ|น|ต:์|ส|	b|e|n|t|z|
เ|บ|ท|	b|e|t:h:e|
ล|ิ|ป|โ|ซ|	l|i|p|s|o|
ล|ิ|น|ต|ั|น|	l|i|n|t|o|n|
ว|ิ|ท:เ:ท|อ:ร:์|ส|ป|ู:น|	w|i|t:h|e:r|s|p|o:o:n|
ช|ร:ั|ป|ไ:ช|ร|์|	s:h|r|o:p|s:h:i|r|e|
ล|ิ|ป|เ:ค:อ|ว|ิ|ต:ส:์|	l|i|p|k:o|w|i|t:z|
ร|ั|ต|เ:ล:ิ|น|ด:์|	r|u|t|l:a|n|d|
แ:บ|ร|น|ด|ิ:้:น|	b|r:a|n|d|i:n|
ล:ู|น:น|ี:ย:์|	l:o:o|n|e:y|
ป|ั|ล|ล|า|ด|ี:โ:ย|	p|a|l|l|a|d|i:o|
ล:ั:ฟ|เ:ว:อ|ร:์|	l:o|v:e|r|
น|็:อ|ต|ส:์|	k:n|o|t:t|s|
เ:อ:็|ก|ล|ิ|น|	e|c:h|l|i|n|
ซ|า|อ:ี|ร|์|	z|a|i|r|e|
เ:อ|ก|ล|อ|ฟ|	e|g|l|o|f:f|
เ:อ|ล|ว|ึ|ส|	e|l|w|e|s|
ฮ:ิ:ว|ว|ิ|ต|ต:์|	h:e|w|i|t|t|
แ:อ|ง:เ:ก|ล|	a|n:g|e:l|
ด:ี|ล|ล|ิ|เ:ง|อ:ร:์|	d|i:l|l|i|n:g:e|r|
โ:ค:เ|ป|ิ:้:ล|	k:o|p:e|l|
แ:ม|น|เ:ด:อ|ว|ิ|ล|	m|a:n|d:e|v|i|l:l:e|
แ:ร:ล|ล|ี:่|	r:a|l:l|i|
แ:ค:น|เ:น|ล|	c:a|n:n:e|l|
บ:็:อ|ด|เ:ม|ิ:่|น|	b:o|d|m|a|n|
อ|อ:เ:ร|ล|	o|r:e|l:l|
ว:ิ|ต|เ:บ:็|ก|	w:h:i|t|b:e|c:k|
ม|ั|น|โ|ต:้|	m|o|n|t|e:u:x|
เ:ท|ล|ล|ิ:ง|	t|e:l|l|i:n:g|
ส|ก|า|ร:์|เ:บ|อ|โ:ร:่|	s|c|a|r|b|o|r:o|
ซ|อ|ล|เ:ฟ:ิ|ร:์|ด|	s|a|l|f:o|r|d|
ว|อ|ล|	w|o|l:l|
อ:ั:ล|โ:ด:้|	a:l|d:o|
ค|ร|ิ|ส|ต|ี:เ:ซ|ิ:่:น|	c:h|r|i|s|t|e:s|e:n|
เ|บ|น|โ:ซ|	b|e|n:s|o|
แ:อ:็|ก|เ:ค:อ|ร:์|เ:ม:ิ|น|	a|c|k:e|r|m:a|n|
โ:ฟ|โ|ต|โ:ท:ร|ฟ:ิ|ก|	p:h:o|t|o:t|r:o|p:h:i|c|
เ:จ|ล|า|ต|ิ|น|	g|e:l|a|t|i|n|
ล|ิ|ป|เ:ช|ิ:ต|ส:์|	l|i|p|s:h:u|t|z|
เ:ม:ิ|ล|โ|ร|น|ี:่|	m:u|l|r|o|n:e|y|
ฮ:ี:เ|น|ิ:ก|	h:e|n|o:c:h|
แ:ช|็:ต|ต|ิ|น|	c:h:a|t|t|i|n|
ส|เ:ต:อ|ร:์|เ:น:อ|ร:์|	s|t:e|r|n:e|r|
ฮ|า|ร:์|ช|อ:ว:์|	h|a|r|s:h|a:w|
ไ:ซ:เ|บ|ิ:ร:์|ต|	s:i|b|e:r|t|
ล|ิ|ต|เ:ท:ิ|ล:เ:ล|อ:ร:์|	l|i|t|t|l:e|r|
เ:อ|ง|ก|ิ|ล|ฮ|า|ร:์|ต|	e|n|g|e|l|h|a|r|d:t|
เ:อ|น|จ:ิ:เ|น|ี:ย|ร:์|	e|n|g:i|n:e|e|r|
ไ:ด|โ|ค|ต|ิ|ก|	d|i|c:h|o:t|i|c|
เ:ฮ|น|เ:ด|อ:ร|ี|่|	h|e:n|d|r|i|e|
จ|ั:ม|โ:บ|	j|u:m:b|o|
บ|อ|น|ฟ|ิ|ล|ด:์|	b|o|n|f|i:e|l|d|
ส|ิ|ก|ร|ี|	s|i|k|r|i|
แ:อ|น|เ:จ:ิ|ล|ล:ิ:ส|	a|n|g:e|l|e:s|
บ:ี|เ:ม|ิ:่:น|	b|e:m:a|n|
โ:ป|ร|เ:ท|โ:ร|โ:ซ:อ|ิ|ก|	p|r:o|t|e:r:o|z:o|i|c|
ย:ู|ซ|ิ|ส|	u|s|i|s|
เ:ร|ม|เ:บ:ิ|ร:์|ต|	r|e:m|b:e|r|t|
โ:ว:เ|ว|ิ:ต|	l:o|v:a|t|
โ:อ|เ:ว:อ|ร:์|เ:ช:อ|ร|์|	o|v:e|r|t:u|r|e|
ม|ิ|ช|	m|i|c:h|
เ:อ|ท:ิ|ล|ี:น|	e|t:h:y|l|e:n:e|
ก:อ|ล|ด:์|	g:a:u|l|d|
เ:ด|ร|ิ:น|ฟ|ิ|ล|ด:์|	d|r:o|n|f|i:e|l|d|
แ:ซ|น|	s:e:h|n|
บ|ี|ก|ิ|ก|	b|e|g|i|c:h|
ม:ู|น|ส:โ:ต|น|	m:o:o|n|s:t|o:n:e|
เ:บ:อ|ร:์:เ|น|อ:ส:์|	b:e|r|n:e|r:s|
ฮ|า|โ:ล|เ:จ|น|	h|a|l:l:o|g|e:n|
โ:ด|ล|เ:ต|ิ:้:น|	d:o:u|l|t|o:n|
แ:จ:็|ก|ก|ี|	j:a|c|k|i:e|
เ:ย|ต|ส:์|	y|a:t:e|s|
แ:อ|ด|ว|า|น|ซ|์|	a|d|v|a|n|c|e|
แ|ซ|ว|ิ|ต:ส:์|	s|a|v|i|t:z|
อ:า|ร:์|ม|	a|r|m|
แ:อ|ค|ว|า|	a|q|u|a|
ซ:ี|ด:ี:เ|อ:็:ม|เ:อ|	c|d|m|a|
อ:ิ|ส|เ:ท|ิ:่:ม|	e|a:s|t:h:a|m|
บ:ู|แ:ม|น|	b:o:u|m|a:n|
น:า|ส|	n:a:a|s|
อ:า|ร:์|ช|บ|ิ|ช|อ|ป|	a|r|c:h|b|i|s:h|o|p|
โ:ฟ|น|เ:ท|ส|	f|o:n|t|e:s|
พ|ู|ร|ิ|น|	p|u|r|i|n|
ม:ิ:เ|ช|อ:เ|ล:ิ:่|น|	m:i|c:h|e|l:i|n:e|
อ:อ|ล|ิ|โ|ก|แ:ซ:็|ก|ค|า|ไ:ร|ด|์|	o|l|i|g|o|s:a|c|c:h|a:r|i|d|e|
ว:ู|ด|ฮ|ั|ล|	w:o:o|d|h|u|l:l|
เ:ฮ:เ|ซ|ล|น|ั|ต|	h:a|z|e:l|n|u|t|
ฟ|อ:แ:ร|ม|ิ|น|ิ|เ:ฟ:อ|ร:์|	f:o|r:a|m|i|n|i|f:e|r|
บ:ั:ล|ล|ิ|น|ต:์|	b:a|l|i|n|t|
ล|ิ|ต|ช:ี|	l|i|t|c:h:i|
พ:ุ|ล|	p:u:l|l|
ส|ว|อ|น|ว|ิ:ก|	s|w|a|n|w|i:c:k|
ด|ี|แ:อ:็|ค|ต:ิ:เ|ว|ช:ั|น|	d|e|a|c|t:i|v:a|t:i:o|n|
ว|ิ:น:เ|ค:ิ|ล:เ|ซ|ี:ย|	w|i:n|c:h:e|l|s:e|a|
เ|ท|ก:ซ:์|	t|e|x:t|
ร|ิ|จ|ล:ี:่|	r|i|d:g:e|l:y|
ก|ิ|บ|บ|ุ|ต:ซ:์|	k|i|b|b|u|t:z|
ล|ิ|น|เ:ด:อ|ร:์|	l|i|n|d:e|r|
ล|ั:ฟ|เ:ม|ิ:่|น|	l|o:v:e|m|a|n|
บ|า|ร:์|ร|ิ|เ:อ|อ:ร:์|	b|a|r|r|i|e|r|
ไ|ว|ไ:ฟ|	w|i|-:f:i|
ม|อ|ก|ค|ะ|ซ|ิ|น|	m|o|c|c|a|s|i|n|
ไ:ล|ฟ|์:ส|แ|ป|น|	l|i:f:e|s|p|a|n|
แ:พ|ร|เ:ท|อ:ร:์|	p|r:a|t:h:e|r|
โ:ม|ล|ส|ั|น|	m|o:l|s|o|n|
ฮ|อ|ว|ส:์|	h|a|w:e|s|
เ|ซ|ฟ:า|โ|ล|พ|อ|ด|	c|a|p:h:a|l|o|p|o|d|
ร|ี|อ:ั:ล|ก|า|ร:์|	r|e|a:l|g|a|r|
ท:ี|โ:อ|ด|อ|ร:์|	t:h:e|o|d|o|r|
อ|อ:ร:์|ค|ิ|ด|	o|r|c:h|i|d|
แ:อ|ล|ว|อ|ร:์|ด|	a|l|v|o|r|d|
ซ|ิ|ส|เ:น|โ:ร|ส|	c|i|s|n|e:r:o|s|
ล|ิ:ล|โ:ล|	l|i|l:l:o|
บ|ร:็:อ|ก|เ:ม|ิ:น|	b|r:o|c:k|m:a:n|n|
ช:า|ร:์|เ:ต:อ|ร:์|	c:h:a|r|t:e|r|
ไ:น|ต|ิ|ง|เ:ก|ล|	n|i:g:h|t|i:n|g|a:l:e|
เ:ซ|เ:ม|ิ:่:น|	s|e:m:o|n|
ช:า|ร:์|ด|	c:h:a|r|d|
ล:อ|เ|ต|ิ:้:น|	l:a:u|g:h|t|o:n|
แ:จ:เ|น|ต|ต|์|	j:a|n:e|t|t|e|
ส|โ:ม|ก|	s|m:o:a|k|
เ:ท|อ:ร:์|ก:ู|๊:ด|	t:h:u|r|g:o:o|d|
ด|ิ|เ:ค|อ:ร:์|เ:ม|ิ:่|น|	d|i|c:k:e|r|m|a|n|
แ:บ|ม|ฟ|ิ|ล|ด:์|	b|a:m|f|i:e|l|d|
ล|ี|ว:ี|เ:ซ|ย:์|	l|i|v|e:s:a|y|
ส|ป|ี|ช|	s|p|e:e|c:h|
ล|ั|ง:เ:ก|แ|ล|น|ด:์|	l|a|n:g|e|l|a:n|d|
ส|ต|อ|ก|โ|ฮ|ล|์:ม|	s|t|o|c|k|h|o:l|m|
ซ|อ:ร:์|	s:o:a|r|
พ|ร|ิ|ส|ม|อ|ย:ด:์|	p|r|i|s|m|o|i:d|
ค:ี|ล:ล|ิ:ง|	k:e:e|l|i:n:g|
ส|ต:็:อ|ก|โ|บ|ร|เ:ค:อ|ร:์|	s|t:o|c|k|b|r:o|k:e|r|
ว:ู|ด:เ:ด|ร|ิ:ฟ|	w:o:o|d|r|u:f:f|
อ:า|ร:์|เ:ร|ด|ี|	a|r|r|a:d|i|
โ:ค:เ|ว|ิ:่:น|	k:o|v|e:n|
เ:ม:ิ|ก|ด|อ|น|เ:น:ิ|ล|	m|c|d|o|n|n:e|l:l|
เ:ล|เ:ม|ย:์|	l|e:m:a|y|
ส|ุ:เ:อ|ซ|	s|u:e|z|
แ:อ|ก|เ:ซ|ส|ซ|อ|ร|ี|	a|c|c|e:s|s|o|r|y|
ไ:อ|ซ:ี:เ|ด|อ|ร:์|	i|s:i|d|o|r|
ม|า|ร:์|ล|ิ:ต|ต:์|	m|a|r|l:e|t|t|
เ:ย:ิ|ง|ค|อ|ฟ|ส|ก:ี:้|	j:a|n|k|o|w|s|k:i|
ก|ั|ฟ|ฟ|ี:่|	g|u|f|f:e|y|
ค|ั|ท|ต|ิ|้:ง|	c|u|t|t|i|n:g:s|
โ|ก|ล|ด:์|ฟ|า|ร:์|บ|	g|o|l|d|f|a|r|b|
ล:ี|๊:บ|เ:ล:อ|ร:์|	l:e:i|b|l:e|r|
เ:ย|ซ|ู:อ:ิ|ต|	j|e:s|u:i|t|
เ:ก|ร|ด|	g|r|a:d|
ซ:า|ร:ี:่|	s:a:a|r:i|
แ:บ|ท|เ:ก|ต|	b|a:t:h|g|a:t:e|
ฟ|ิ|ต|เ:ซ|อ:ร:์|เ:บ:ิ|ร:์|ต|	f|i|t|z:h:e|r|b:e|r|t|
ฟ:ิ:ว|เ:ท|ร|ล|	f:u|t|r:e|l:l|
ส|เ:ม:อ|ร:์|น|า|	s|m:y|r|n|a|
เ:อ|เ:ด:อ|ร:์|	e|d:e|r|
แ:บ|ล:เ:ล|ิ:ร:์|ด|	b:a:l|l|a:r|d|
แ:ท|ล|แ:ม:็|จ|	t|a:l|m:a|d:g:e|
แ:ก|น|ต|ิ:น|ไ:บ|น:์|	g|a:n|t:e|n|b:e:i|n|
ฮ:ั:ล|เ|ม|ิ:่|น|	h:u|l|m|a|n|
ฮ|ิ|น|ช|อ|	h|i|n|s:h|a:w|
เ:ว:อ|ร:์|จ|ิ|น|	v:i|r|g|i|n|
ร:ั|ส|บ|ั:ก|เ:ค|อ:ร:์|	r:o:s|s|b|a:c:h|e|r|
โ:ฟ:เ|ด|ิ:น|	f:o|d:e|n|
ฟ|ิ|ก|ก|ิ|ส|	f|i|g|g|i|s|
อ:ี|ม|ึ|ส|	e|a:m|e|s|
เ:น|เ:อ|อ:ร:์|	n:e:h|e|r|
จ:ู|ล|,|	j:o:u|l:e|,|
ม|อ|ร:์|พ|ิ|ท|	m|o|r|p|e|t:h|
เ:พ:็|ต|โ:ท:ร|	p:e|t|r:o|
ฟ|ิ|ว|	f|e|w|
ซ|า|ว|อ|ย|	s|a|v|o|y|
เ:ม|ม:อ|เ:ร:็|ก:ส:์|	m|e:m:o|r:e|x|
ม|า|ร|์:แ:บ|ร:ี:่|	m|a|r|b:u|r:y|
โ:ม:น|โ|จ|	m:o|n|j:o|
เ:อ:ิ|ส|ต|ิ|น|	a|s|t|i|n|
ล:ี:เ|ว|อ:ไ:ร|ท:์|	l:i|v:e|r:i|g:h:t|
บ:ี|เ:ว:อ|ร:์|ส|	b:e:a|v:e|r|s|
เ:พ|ร:า|ต:์|	p|r:o:u|t|
ไ:อ|เ:อ:ส|ซ:ี|เ:อ:ส|ท:ี|	i|s|c|s|t|
