ה|ו|ל|מ|ז|	h|o|l|m:e|s|
א|ס|פ|ר|א|נ|ט|ו|	e|s|p|e:r|a|n|t|o|
נ|י|ק|ו|ל|ו|ס|	n|i|c|o|l|a:u|s|
מ|ר:א|ק|ש|י|	m:a|r:r:a|k|c:h|i|
פ|א|ר|ו|ק|	f|a|r|o:u|k|
פ:א|ר|נ|י|	f:a:h|r|n|i|
ה|א|ד|ו|ק|	h|a|d:d|o|c:k|
ה:י:י|נ|י|	h:a|n:e|y|
ל|ו|ד|ב|י|ק|	l|u|d|v|i|k|
ד:ק|ט:ו:ר|	d|r:.|
א:י|נ|ו|נ|ו|	i|n|o|n|u|
ו|ו|ל|מ|א|ר|	w|o|l|m|a|r|
ר|י|מ|י|ט|י|	r|i|m|i|t:t|i|
ש|ל|א|י|ם|	s:h|l|a|i|m|
י|א|ס|י|ן|	y|a|s:s|i|n:e|
ה|ו|ר|י|ז|ו|נ|ט|י|	h|o|r|i|z|o|n|t|e|
א|נ|ס|י|ל|ם|	a|n|s|e|l|m|
ה|י|ל|י|ג|י|ן|	h:e|y|l|i|g|e|n|
נ|ס|י|ב|	n:a|s|i|b|
ו|י|ו|	v|i|v|
ק|ו|ר|ט|י|ס|	c|o|r|t|e|s|
ה|א|מ:ו|נ|ד|	h|a|m:m:o|n|d|
מ|ו|ה|א|ג:'|ר|א|נ|י|	m|o|h|a|j|e:r|a|n|i|
א|י|ק|י|ד|ו|	a|i|k|i|d|o|
ב|א|ס|י|ל|א|	b|a|s:s|i|l|a|
ב|ל|ח:ו|ס|	b:a|l|h:o:u|s|
ט|י|מ|ו|ר|	t|i|m|o|r|
פ|י|י|ן|	p|a|y|n:e|
ב|א|ס|ל|	b|a|s|e:l|
מ|א|ק|א|נ|ג|א|	m|a|c|a|n|g|a|
מ|א|נ|ד|א|ל|א|	m|a|n|d|a|l|a|
ב|י|ר|ק|ל|י|	b|e|r|k:e|l:e|y|
פ|י|י|ר|א|נ|ג|ל|ו|	p|i|e|r|a|n|g|e:l|o|
מ|א|ק|ל|י|י|ן|	m|a|c|l|a|i|n:e|
ב|י|ז|י|מ|ו|נ|ג|ו|	b|i|z|i|m|u|n|g|u|
ו|י|ב|י|נ|ג|	w|e|a:v|i|n|g|
פ|י|ק:ס|ו|ט|ו|	p:e|i|x|o|t|o|
מ|י|ק:ו|	m|i|k:k:o|
ה|י|ל|ט|ו|ן|	h|i|l|t|o|n|
ט|א|ל|	t|a|l|
י|מ|א|נ|י|	y:a|m|a|n|i|
כ|א|י|א|ש|י|	k:h|a|y|a|c:h|i|
ל|י|ן|	l|y|n:n|
ס|ט|ר|ו|ס|ט|ר|ו|פ|	s|t|r|o:u|s|t|r|u|p|
ב|ו|ר|ו|ס|י|א|	b|o|r|u|s:s|i|a|
ד|י|	d|i:s|
ט|א|פ|א|ר|י|ל|	t|a|f:f|a|r|e|l|
ל|י|ק|ו|	l|e|k|o|
ב|י|ר|ק|ש:י|ר|	b|e|r|k|s:h:i|r:e|
פ|ט|י|ס|	p:e|t:t|i|s|
ק|ו|מ|ו|ד|ו|	k|o|m|o|d|o|
פ|ו|ט|ו|ק|	p|o|t|o|k|
ו|ל|ט|א:ב:א|	v|l|t:a|v:a|
ש|ר|	s:h|e:r|
מ|י|ש:י|מ|א|	m|i|s:h:i|m|a|
ג|י|מ:י|י|	g|e|m:m:e|i|
א|ר|י|ט|ר|י|א|	e|r|e|t|r|i|a|
ק:ל|ק|ט|א|	k:o:l|k:a|t|a|
ע|נ|א|י|א|ט|י|	e|n|a|y|a|t|i|
נ|י|נ|ו|מ:י|א|	n|i|n|o|m:i:y|a|
מ|י|ר|ו|	m|i|r|o|
ס|א|ר|ק|	s|a|r|k|
ב|ר|א|ד|ל|י|	b|r|a|d|l:e|y|
ק|א|ס|י|ד|י|	c|a|s:s|i|d|y|
א:י|ס|ח|א|ק|	i|s|h|a|k|
נ|י|ק|ו|ל|א|י:י:ב|	n|i|k|o|l|a|e:v|
ק|י|נ|ג|ס|ט|ו|ן|	k|i|n|g|s|t|o|n|
ו|א|ל|ק|א|ר|י|ד|ג:':י|	v|a|l|c|a|r|e|g|g:i|
מ|א|ט|י|א|ס|	m|a|t:t:h|i|a|s|
פ|י|ט|ו|ר|א|ט|	p|i|t|u|r|a|t|
מ|א|ס|א|ק|ו|	m|a|s|a|k|o|
מ|א:י|ר|א|	m|y|r|a|
ס|ט|ר|א|ק|	s|t|r|a|c:k|
פ|א|ו|ל|ו|	p|a|o|l|o|
ר|י|ס|ר|	r|i|s:s|e:r|
ל|י|נ|ס|ט|ר|א|	l|e|n|s|t|r|a|
ס|א|ל|ד|א|נ|א|	s|a|l|d|a|n|a|
ש|א|מ|ס|	s:h|a|m|s|
ק|א|ו:ו|נ|א|ג|י|	c|a|v|e:n|a|g:h|i|
ב|א|ל:י|ט:ש|	b|a|l:j:i|c|
ק|א|נ|ט|ר|ב|ר|י|	c|a|n|t|e:r|b|u:r|y|
ק|ו|נ|ט|ר|א|	c|o|n|t|r|a|
פ|ר|ל|י|ט|ו|	f:e|r|l|i|t|o|
ש|י|א|ו|ש|ו|	x|i|a|o|x|u|
פ|ו|מ|פ|י|ד|ו|	p|o|m|p|i|d|o:u|
ג|א|ל|א|ג|ר|	g|a|l:l|a|g:h|e:r|
פ|ו|ל|ק|	p|o|l|l:a:k|
ע|ז|י|ז|י|	a|z|i|z|i|
פ|א|ד|ו|	f|a|d|o|
ה|א|נ|ס|ן|	h|a|n|s|e:n|
פ|י|ק|י|ט|	p|i|c:k|e|t:t|
ר|א|ט|ק|ו|	r|a|t|k|o|
ג:'|א|נ|ל|ו|י|ג:':י|	g|i|a:n|l|u|i|g:i|
ג|ו|ל|	g|u|l|
ל|י|א|נ|ד|ר|ו|	l|e|a|n|d|r|o|
מ|י|ט|נ|י|ק|	m|i|t|n|i|c:k|
מ|י|ל|א|ד|י|נ|ו|ב|י:ט:ש|	m|i|l|a|d|i|n|o|v|i:c|
ו|י|ס|ל|א|ו|א|	w|i|s|l|a|w|a|
ס|ק|ל|ט|ו|ן|	s|k|e:l|t|o|n|
ו|א|ג|נ|ר|	v|a|g|n|e:r|
ס|ק|ו|ר|ס|י|ז|י|	s|c|o|r|s|e|s|e|
ב|ו|ג|ד|א|ן|	b|o|g|d|a|n|
א:י|ט|א|ל|י|	i|t|a|l|y|
מ|ו|ר|ג|נ|ר|	m|o|r|g|n|e:r|
ה|ו|ש:י|נ|ו|	h|o|s:h:i|n|o|
י:ו|ר|י|	u|r|i|
ב|א|ר|א|מ|י|ד|ז|ה|	b|a|r|a|m|i|d|z|e|
פ|ו|ל|	p|a:u|l|
א:י|נ|ו|ס|	e|n|o|s|
ס|א|י|ף|	s|a|i|f|
פ|א|ס|י|פ|י|ק|ו|	p|a|c|i|f|i|c|o|
ז|א|ר|א|ג|ו|ז|א|	z|a|r|a|g|o|z|a|
ה|א|י|ר|ו|ד|י|ן|	h|a|i|r|u|d:d|i|n|
י|ו|ג:'|י|ן|	e|u|g|e|n:e|
ג|א|ס|פ|א|ר|	g|a|s|p|a|r:d|
ס|ו|ל|י|י|מ|א|ן|	s|u|l|e|i|m|a|n|
ג|ו|ט|ס|מ|א|נ|ו|ב|	g|o|t|s|m|a|n|o|v|
מ|ו|ל|א|ן|	m|u|l|a|n|
ה|א|מ|פ|ט|י|	h|u|m|p|t|y|
פ|א|ד|ל|	f|a|d|l|
ג|ו|מ|י|ז|	g|o|m|e|s|
ע|ס|א|ף|	a|s:s|a|f|
ג|ו|מ|י|ז|	g|o|m|e|z|
ס|פ|ר|י|ס|	s:e|f:e|r|i|s|
ט|י|א|ס|י|	t|i|a|s:s|e|
פ|ו|ט|ר|	p|o|t:t|e:r|
מ|י|ר|ו|ן|	m|e|r|o|n|
א:י|ב|ר|ס|ו|ן|	i|v:e|r|s|o|n|
ב|ו|ב|	b|o|b|
ש|ק|ו|ד|ר|	s:h|k|o|d|e:r|
ה|ו|ל|ס|ט|י|ן|	h|o|l|s|t:e|i|n|
ב|א|ר|ט|ו|ל|ו|מ|י|ו|	b|a|r|t|o|l|o|m|e|o|
ז|ו|ב|י|י|ד|י|	z|u|b|e|i|d|i|
ל|ו|י|ד|	l:l|o|y|d|
ק|ו|ד|ר|י|א|	c|o|d|r|e|a|
ק|י:ו|ב|	c|u|b:e|
ה|י|ל|פ|מ|א|ן|	h|e|l|p|m|a|n|
ק|ו|פ|י|	c|o|f:f|i|
פ|ו|י|ר|ו|ס|	f|o|i|r|o|s|
ה|י|נ|ו|	h|i|n|o|
א:י|מ|א|מ|ו|ר|א|	i|m|a|m|u|r|a|
מ|י|ל|י|צ:'|י|פ|	m|i|l:l|i|c|h:i|p|
ה|ו|מ|א|י|ו|ן|	h|o|m|a|y|o:u|n|
ק|ו|מ|י|	k|u|m|i|
ל|א|ס|א|נ|א|	l|a|s:s|a|n|a|
ד|א|נ|י|	d|a|n:n|y|
ת|י|ו|	t:h|e|o|
ס|א|מ|ס|ו|ן|	s|a|m|s|o|n|
פ|י|ר|י|י|ר|א|	p|e|r|e|i|r|a|
ב|א|ט|ל|ס|	b|a|t|l:l:e|s|
ל|ר|ד|ו|ר|ף|	l|e:r|d|o|r|f|
פ|ו|נ|ט|י|ס|	p|o|n|t|e|s|
מ|א|ק:ס|י|מ|י|ל|י|א|ן|	m|a|x|i|m|i|l|i|a|n|
ה|א|מ|פ|ט|ו|ן|	h|a|m|p|t|o|n|
ר|י|מ|א|ן|	r|i:e|m|a|n:n|
ש|מ|ס|ו|ל|	s:h:a|m|s|u|l|
ק|א|ל|י:כ:א|	c|a|l:l:e|j:a|
מ|ו|נ|ק|	m|u|n|c:h|
ב|ו|י|א|צ:'|ק|	v|o|j|a|c|e:k|
ס|ו|נ|י|ס|	s|o:u|n|e|s:s|
ב|י|ד|א|	b|e|d|a|
נ|י|מ|ר|	n|i|m:a|r|
ס|ט|י|ו|א|ר|ט|	s|t|e|w|a|r|t|
י|א|ס|י|ן|	y|a|c|i|n:e|
י|א|נ|ו:ש|	j|a|n|u:s:z|
ל|ו|ק|ל|י|ר|	l|o|c:k|l|e|a:r|
א|ל|ב|ע|ת|	a|l|b:a|a|t:h|
ה|ו|כ|ל|	h|u|c:h|e:l|
ק|י|ר|ס|ט|ן|	k|i|r|s|t|e:n|
צ:'|י:א|ק|י|ו|	c:h:i|a|c:c:h|i|o|
ח|ו|ד|א|ד|א|ד|	k:h|o|d|a|d|a|d|
ז|ו|ר|א|ן|	z|o|r|a|n|
ה|נ|ר|י|	h:e|n|r|i|
ג:':ו|נ|ת|ן|	j:o|n:a|t:h|a:n|
ס|א|י|א|ק|ו|	s|a|y|a|k|o|
ס|ו|ח|ה|	s|u|h|a|
א:י|מ|ו|ל|א|	i|m|o|l|a|
ב|ר|ו|נ|י|י|	b|r|u|n|e|i|
ז|א|ה|י|ר|	z|a|h|i|r|
מ|א|ק|י|ל|ל|י|	m|a|k|e|l:e|l|e|
ל|א|ם|	l|a|h:m|
ג|י|נ|ש|ו|	g|e|n|s:h|o|
ס|י|מ|ו|נ|י:ט:ש|	s|i|m|u|n|i:c|
ס|א:מ|ר|ב|י|	s|u:m:m|e:r|b:e|e|
פ|י|ק:ו|ל|י|	p|i|c:c:o|l|i|
ר|י|נ|א|ן|	r|e|n|a|n|
ח:י|י|ם|	c:h:a|i|m|
פ|ו|ר|ס|ק|א|ל|	f|o|r|s:s|k|a|l|
מ|ס|א|ל|י|	m:e|s:s|a|l|i|
ט|ר|ו|ס|י|ה|	t|r|o:u|s:s|i|e:r|
ר|א|ב|י|ו|	r|a|b|i|u|
ד|י|נ|א|נ|ט|	d|i|n|a|n|t|
ה|נ|ר|י|	h:e|n|r|y|
ל|י|ט|ל|	l|i|t:t|l:e|
פ|ר|ו|מ|י|ת|י|ו|ם|	p|r|o|m|e|t:h|i|u|m|
ס|א|ו|ר|א|	s|a|u|r|a|
ה|א|ר|נ|י|ק|	h|a|r|n|i|k|
ו:ו|ל|י|	w:a:l|l|e|
ש:י|נ|ק|א|נ|ס|ן|	s:h:i|n|k|a|n|s|e:n|
ד|א|נ:י|	d|a|n:n:i|
ש|ו|ב:ל|	s:h|o|v:a:l|
פ|א|נ|ט|י|נ|י|	f|a|n|t|i|n|i|
פ|א|ו|ל|א|	p|a|o|l|a|
ס|ו|ל:ו|	s|o|l:o:w|
ו|י|ק|ט|ו|ר|י|א|	v|i|c|t|o|r|i|a|
ר|ו|ת|ל|י|ס|ב|י|ר|ג|ר|	r|o|t:h|l|i|s|b|e|r|g|e:r|
ע:ו|מ|ר|	o|u:m|a:r|
נ|ו|נ|י|	n|o|n|i:e|
ק|ר|י|צ:'|ו|ב|י|א|ק|	k|r|y|c|h:o|w|i|a|k|
פ|י|ז|א|ר:ו|	p|i|z|a|r:r:o|
ב|ו|נ:א|ר|ד|	b|o|n:n:a|r|d|
ג:':ו|ג:':י|	j:o|j:i|
ק|י|נ|ז|י|	k|i|n|s:e|y|
ע|ט|ר|ו|ת|	a|t|a:r|o|t|
ק|ר|ו|ס|	c|r|o|s:s|
ר|ק|פ|י|	r:e|x:h:e|p|i|
ג|ר|נ|מ|י|י|ר|	g|r|n:e|m:e|y|e|r|
ר|ו|א:י|ד|א|	r|o:u|w:a:i|d|a|
פ|ר|י|ד|נ|ס|ר|א|י|ש|	f|r|i:e|d:e|n|s|r|e|i|c:h|
ט|ו|מ|א|ס|	t|o|m|a|s:z|
ס|א|ג|י|ס|ו|	s|a|g|i|s|u|
א:ו|ק|א|מ|ו|ט|ו|	o|k|a|m|o|t|o|
מ|י|ד|א|נ|י|	m:e|i|d|a|n|i|
ב|א|ר|ד|ם|	b|a|r|d:e|m|
ב|ק|ס|י|	b|k|s|y|
ד|ו|מ|י|נ|י|ק|ו|	d|o|m|e|n|i|c|o|
ר|ו|ק|מ|ו|נ|ד|	r|o|c:k|m|o|n|d|
ד|י|ב|ר|א|	d|e|b|r|a|
ר|י|ב|ו|ל|י|	r|i|v|o|l|i|
פ|י|נ|א:י|ל|ק|י|ט|ו|נ|ו|ר|י|א|	p:h|e|n|y|l|k|e|t|o|n|u|r|i|a|
ת|י|ו|	t:h|i|o|
פ|ר|י|ס|ק|ו|ס|	p|r|i|s|c|u|s|
ק|ב|י|ס|ט|	q|v|i|s|t|
א|ו|ר|י|ל|י|ו|ס|	a|u|r|e|l|i|u|s|
ס|א|מ:י|	s|a|m:m:y|
מ|א|ט|ו|ב|י|נ|ו|ב|י:ט:ש|	m|a|t|o|v|i|n|o|v|i:c|
ז:'|נ|ג|	z:h:e|n|g|
ק|א|ט|ב|	k|a|t:e|b|
ב|ר|א|ה|מ|א|	b|r|a|h|m|a|
ב|נ|ס|	b:e|n:e|s|
ע|ב|י|י|ד|	e|b|e|i|d|
ק|א|ב|ל|	c|a|b:e|l|
ס|ו|ר|א|ס|ק|י|	s|u|r|a|s|k|i|
ג|ו|ז|א|ן|	g|u|z|a|n|
ק|נ|ט|	k:e|n|t|
ר|ת|ר|פ|ו|ר|ד|	r|u:t:h|e:r|f|o|r|d|
ק|י|ד|ו|	k|i|d|o|
ג|א|ר|י|ב|א|ל|ד|י|	g|a|r|i|b|a|l|d|i|
ק|ו|ט|ו|	c|o:u|t|o|
ו|ו|ט|ק|ה|	w|u|t:t|k|e|
ר|י|פ|י|ט|ו|	r|e|p|e|t:t|o|
ס|נ|ו|ר:י|	s|n|o|r:r:i|
א:ו|ק:ו|	o|k:k:o|
ג|'|ו|ר|ג:'|	g|e|o|r|g:e:s|
ס|ט|ו|ד|נ|ט|	s|t|u|d:e|n|t|
ק|י|ש:י|מ|ו|ט|ו|	k|i|s:h:i|m|o|t|o|
א|ר|י|א|ל|	a|r|i|e|l|
פ|י|ט|ו|ר|ק|א|	p|i|t|u|r|c|a|
ר|ו|י|ז|	r|u|i|z|
צ:ו|ג:':י|	t:s:u|j:i|
ג|ר|י|נ|ט|	g|r|i|n|t|
פ|י|א|ט|י|	p|i|a|t:t|i|
ב|ר|א|י|ל|א|	b|r|a|i|l|a|
ל|י|ו|ב|י|ס|א|	l|j|u|b|i|s|a|
מ|י|מ|י|	m|i|m|i|
ה|י|ק|מ|א|ן|	h|i|c:k|m|a|n|
ק|א|נ|ט|א|ר|ו|	k|a|n|t|a|r|o|
ב|א|ל|ט|י|מ|ו|ר|	b|a|l|t|i|m|o|r:e|
פ|ר|ו|ק|ו|פ|	p|r|o|k|o|p|
ל|י|ו|ב|ל|י|א|נ|א|	l|j|u|b|l|j|a|n|a|
ס:י|ט:ש|ב|	s|y:c:h|e:v|
ו|א|ס|א|ר|ל|י|	v|a|s|a|r:e|l|y|
ד|א|ו|א|ל|א|	d|a|v|a|l|a|
פ|ל:ו|ט|ז|	p|l:o:e|t|z|
ה|י|ת|ם|	h:a|y|t:h|a:m|
ל|י|ו:ו:י|ר|א|נ|י|	l|i|v:e|r|a|n|i|
ק|י|י|ס|	k|a|i|s|
ג|א|ל|י|א|נ|י|	g|a|l:l|i|a|n|i|
א|מ|י|ט|ב|	a|m|i|t|a:v|
ק|י|ו|ר|א|	k|i|y:o:u|r|a|
ל|ט|ר|י:י|ר|	l:e|t|e:r|r:i:e|r|
ס|ל|י|מ|א|ן|	s|l|i|m|a|n:e|
מ|ו|מ|ס|י|ל|ו|	m|o|m|c|i|l|o|
א:ו|ק|ט|א|ן|	o|c|t|a|n:e|
א|ט|נ|ב|ו:ר|ו|	a|t:t:e|n|b|o:r:o|u:g:h|
מ|א|ז|ו|ט|	m|a|z|u|t|
מ|נ|צ:'|ו|	m:e|n|c|h:u|
ש|י|ר|י|ד|א|ן|	s:h|e|r|i|d|a|n|
א|ד:י:י|ר|	a|d:a|i:r|
ל|א|ס|ק|א|ר|י|נ|א|	l|a|s|k|a|r|i|n|a|
ד|י|נ|א|	d|i|n|a|
פ|י|ל|י|פ|י|נ|ז|	p:h|i|l|i|p:p|i|n|e:s|
ב|י|א|ר|ן|	b|j|a|r|n:e|
מ|י|ק|ו|ל|א|י|ב|	m|y|k|o|l|a|i|v|
ל|ז|י|ו|ן|	l:e|z|i|o|n|
ה:ו|ק|א|י|ד|ו|	h:o:k|k|a|i|d|o|
א|נ|ר|י|ק|ו|	e|n|r|i|c|o|
נ|י|ב|א|ד|א|	n|e|v|a|d|a|
א:י|ל|ן|	i|l|a:n|
ג|א|ל|א|ק|ו|ס|	g|a|l|a|k|o|s|
ק|ל|י|נ|ט|	c|l|i|n|t|
ז|א|מ|ו|ר|א|	z|a|m|o|r|a|
ק|ו|פ|ו|ל|א|	c|o|p:p|o|l|a|
ד|א|ר|	d|a|r|
ק|א|מ|ל|ו|ט|	c|a|m:e|l|o|t|
נ|א|י|ף|	n|a|i|f|
נ|א|ס|ד|א|ק|	n|a|s|d|a|q|
ט|ו|ר|ק|מ|א|נ|י|	t|u|r|k|m|a|n|i|
ח|ו|ר|י|	k:h|o:u|r|y|
ז|י|ל|א|י|א|	z|e|l|a|y|a|
ר|ו|ל|פ|ס|	r|o|l|f:e|s|
ק|א|ר|ל|ס|ו|ן|	k|a|r|l|s:s|o|n|
ט|א|ק|ו|מ|י|	t|a|k|u|m|i|
פ|א|ק|ו|נ|ד|ו|	f|a|c|u|n|d|o|
ש:י|ל|ר|	s:h:i|l:l|e:r|
ב|ל|ו|	b:e|l|o|
ה|י|נ|ק|ל|	h|i|n|k|e:l|
ש:י|נ|א|ו|א|ט|ר|א|	s:h:i|n|a|w|a|t|r|a|
ק|י|ם|	k|i|m|
ר|י|ו|מ|א|	r|y|o|m|a|
פ|א|ר|א|מ|ו|	p|a|r|a|m|o|
ד|ו|ר|י|ס|	d|o|r|i|s|
ד|י|ל|פ|י|	d|e|l|p:h|i|
א|מ:י|	e|m:m:y|
ס|י|מ|א|ק|	s|e|m|a|k|
ל|י|ס|י|ג|	l|e|s:s|i|g|
ק|ר|ז|י|נ|ו|ו|י|ק|	k|r|z|y|n|o|w|e|k|
ס|א|נ|ט|ו|מ|י|	s|a|n:e|t|o|m|i|
פ|י|נ|י|נ|פ|א|ר|י|נ|א|	p|i|n|i|n|f|a|r|i|n|a|
ס|א|מ|ס|ו|ן|	s|a|m|s|u|n|
פ|ר|י|ד|ר|י|ק|	f|r|i|d|e:r|i|c|
ב|א|י|ר|	b|a|j:e|r|
מ|א|ר|א|ת|ו|ן|	m|a|r|a|t:h|o|n|
ל:י:י|ב|י|	l:a|v:e|y|
ו|י|ס|ט|ר|מ|א|ן|	w|e|s|t|e:r|m|a|n:n|
ס|י|ו|נ|ק|ו|	s|i|o|n|k|o|
ט|ו|מ|א|ס|	t|o|m|a|s|
ס|י|פ|י|ר|ט|	s:e|i|f|e|r|t|
מ|א|ט|י|ר|א|צ:י|	m|a|t|e|r|a|z:z:i|
נ|י|ו|	n|i|u:e|
ש|ו|פ|נ|ה|א|ו|ר|	s:c:h|o|p:e|n|h|a|u|e:r|
מ|א|י|א|	m|a|i|a|
מ|ל|א|ד|י:ט:ש|	m|l|a|d|i:c|
מ|ס|א|ר:י|	m|s|a|r:r:i|
ג:':ו|ה|א|ז|	j:u|h|a|s:z|
מ|ו|ר:י|ס|	m|o|r:r:i|s|
פ|י|ק|	p|e|c:k|
צ:'|מ|ר|א|ן|	c:h:a|m|r|a|n|
ש|ו|ט|ו|ק|א|ן|	s:h|o|t|o|k|a|n|
ה|ו|נ|ש|ו|	h|o|n|s:h|u|
מ|א|ר|י|ו|ס|	m|a|r|i|u|s|
פ:ק|ר|א|ד|ו|נ|י|	p:a:k|r|a|d|o:u|n|i|
ק|ו|ל|ו|ד|י|ן|	k|o|l|o|d|i|n|
י|ו|ש:י|מ|ו|ט|ו|	y|o|s:h:i|m|o|t|o|
ט|ר|י|נ|ט|ו|ן|	t|r|e|n|t|o|n|
מ|ו|ר|י|ז|י|ו|	m:a|u|r|i|z|i|o|
פ:ו|א|ד|	f:o:u|a|d|
מ|א|נ:י|נ|ג|	m|a|n:n:i|n|g|
מ|ט|	m|t|
ק|ו|ר|ב:ט|	k|o|r|b:u:t|
מ|נ|א|מ|ה|	m:a|n|a|m|a|
ט|א|י|ם|	t|a|i|m|
ד|י|ב|י|ר|י:ט:ש|	d|e|v|e|r|i:c|
מ|ו|ס|א|	m|u|s|a|
מ|י|ט|ן|	m|e|t|i:n|
פ|ו|נ|ז|י|ו|	p|o|n|z|i|o|
ח|ל|י|מ|י|	h:a|l|i|m|i|
נ:י:י|ד|י|ן|	n:a|d|i|n:e|
ע|ב|א|ן|	a|b|a|n:e|
ג|ו|ט|י|י|ר:י|ז|	g|u|t|i|e|r:r:e|z|
ק|א|ר|ק|א|ר|	k|a|r|k|a|r|
ר|ו|נ|ט|ג|נ|י|ו|ם|	r|o|e:n|t|g:e|n|i|u|m|
ה|י|ל|י|נ|י|ק|	h|e|l:l|e|n|i|c|
ד|י|ט|ר|	d|i:e|t|e:r|
ג:':ו|ס|י|פ|	j:o|s|i|p|
פ|ל|ו|ה|	f|l|o|h:e|
ק|ר|י|מ|י|	k:a|r|i|m|i|
מ|ו|ח|מ|ד|	m|o|h:a|m:e|d|
ה:ו|ב|ר|ט|	h:u:b|b|e:r|t|
ת|ו|ר|ה|	t|o|r:a|h|
נ:ו|ב|ל|	k:n:o|b:e|l|
נ|י|ק|ו|ל|	n|i|c|o|l:e|
פ|י|ד|ו|ר|	f|e|d|o|r|
ר|ו|ב|נ|ס|ו|ן|	r|o|b:i|n|s|o|n|
ה|א|ו|ס|ד|ו|ר|ף|	h|a|u|s|d|o|r|f:f|
מ|ו|ר|ו|	m|o|r|r:o:w|
ח|א|ם|	h|a|m|
ה|י|ל|מ|ו|ט|	h|e|l:l|m|u|t|
ס|ט|ר|י|ס|מ|א|ן|	s|t|r|e|s:e|m|a|n:n|
ד|ב|ל|י|ן|	d:u|b|l|i|n|
א|פ|ג|נ|ס|י:ט|א|ן|	a|f|g:h:a|n:i|s|t|a|n|
ק|ש|מ|י|ר|	k:a|s:h|m|i|r|
נ|י|פ|ס|	n|i:e|p|c:e|
ר|י|ג|נ|ס|ב|ר|ג|	r|e|g:e|n|s|b|u:r|g|
ס|ל|ה|ב|	s:a|l|h:a|b|
ג|ל|ו|ט|א|מ|י|ן|	g|l|u|t|a|m|i|n:e|
מ|ג|ן|	m:a|g|e:n|
ק|ו|ר|א|נ:י|	k|u|r|a|n:y:i|
א:י|פ|א|נ|י|י|	i|f:e|a|n|y|i|
י|ד|י|ן|	y:a|d|i|n|
ס|ו|ז|א|	s|o:u|z|a|
פ|ו|ז|י|	p|o|s:e|y|
ק|ו|ד|ג:'|א|	c|o|d|j|i:a|
ה|י:ו|ם|	h|u|m:e|
ס|א|ר|י|ו|ג|ל|ו|	s|a|r|i|o|g|l|u|
מ|א|נ|פ:ר|ד|	m|a|n|f:r:e|d|
ק|ו|ר|י|ע|	q|u|r|e|i|
מ|ו|ל|א|	m|u|l|a|
ד|נ|י|ס|ט|ר|	d|n|i:e|s|t|e:r|
ל|א|ק:ס|ו|מ|ב|ו|ר|ג|ו|	l|u|x|e|m|b|u|r|g|o|
ד|ו|מ|י|י|ק|ו|	d|o|m|e|y|k|o|
מ|א|ט|ס|ו|ד|א|	m|a|t|s|u|d|a|
ג:':א|ק|ל|י|ן|	j:a|c:q:u|e:l|i|n:e|
ד|י|ז|י|ר|ה|	d|e|s|i|r:e|e|
ר|י|נ:א|ל|ד|ז|	r|e|y:n:o|l|d|s|
ע|ר|ק|ט|י|נ|ג|י|	a|r:a|c|t|i|n|g|i|
ג|נ|ז|ו|ר|י|	g:a|n|z|o:u|r|i|
ס|ו|י|ר:י|	s|v|e|r:r:e|
ה|י|ר|ו|ק|י|	h|i|r|o|k|i|
ע|ל|ו|ד|י|	a|l:l|o:u|d|i|
ז|א|ק|א|ר|י|	z|a|c:h|a|r|y|
ב|א|ר|ס|י|ל|א|ט|א|	b|a|r|c|e|l|a|t|a|
א|ל|מ|י|ד|א|	a|l|m:e|y|d|a|
ל|י|ג|ר|ו|ט|א|ל|י|	l|e|g|r|o|t|t:a:g|l|i:e|
ס|ו|ט|י|	s|u|t:e|e|
ר:י|ה|א|ג|ל|	r:e:h|h|a|g|e:l|
פ|ו|ל|י:נ|ס|	p|o|l:l:e|u:n:i|s|
מ|י|ר|י|ל|	m|e|r|y|l|
ס|ו|ל|א|ר|י|	s|o|l|a|r|i|
מ|א|ר|ס|י|א|נ|ו|	m|a|r|c|i|a|n|o|
א:ו|ב|ס|י|ד|י|א|ן|	o|b|s|i|d|i|a|n|
י|א|ס|ר|	y|a|s:s|e:r|
נ|ו|ר|י|	n|o:u|r|i|
ג|ר|א|פ|ש|א|פ|	g|r|a|a:f:s|c:h|a|p|
ד|א|ם|	d|a|m|
ר|א|מ|פ|א|ל|	r|a|m|p|a|l|
מ|י|ל|ו|ש|	m|i|l|o|s|
ע:ו|ס|מ|א|ן|	o|s|m|a|n|
ד|י|מ|י|ט|ר|	d|e|m|e|t|e:r|
פ|י|נ|ק|י|ל|ק|ר|ו|ט|	f|i|n|k|i|e:l|k|r|a:u|t|
ב|ס|מ|ה|	b:a|s|m|a|
ט|א|נ|ז|א|ן|	t|a|n|z|a|n|
ס|י|ד|ה|ו|ם|	s|i|d|h|o|m|
א|ל|פ|ו|נ|ס|	a|l|f|o|n|s|
ס|ו|נ|ו|	s|o|n|u|
ד|ר|י|ט|א|ר|	d|r|e|t|a|r|
ק|א|ט|ו|נ|ג|ו|	k|a|t|o|n|g|o|
ס|ט|ר|י|ו|ב|ס|ק|י|	s|t|e:r|j|o|v|s|k|i|
ר|ו|צ:'|מ|ב|א|ק|	r|o|c:h:e|m|b|a|c:k|
ז|ו|ב|ר|ב|ו|ה|ל|ר|	z|u|b|e:r|b|u|h|l|e:r|
ב|ר|ט|ר|א|נ|ד|	b|e:r|t|r|a|n|d|
